name,latitude,longitude
Sentmenat,41.61547,2.1411
Serinyà,42.16661,2.74415
Serra de Daró,42.02961,3.07165
Seseña Nuevo,40.10491,-3.65649
Sestao,,
Sevilla,37.351622,-5.976922
Silla,39.35355,-0.42554
Sils,41.805987,2.75268
Sitges,41.24679,1.810236
Sodupe,,
Solsona,41.992487,1.513268
Soria,41.76445,-2.47893
Sort,42.40986,1.12759
Sos del Rey Católico,42.4901,-1.21517
Soto de Cangas,43.34671,-5.0855
Sueca,39.20344,-0.3165
Tamarite de Litera,41.866354,0.424983
Taradell,41.86738,2.28201
Tarazona,41.894227,-1.720986
Tarragona,41.123388,1.243836
Tàrrega,41.654,1.15416
Tauste,41.92765,-1.25474
Tavernes Blanques,39.509402,-0.365302
Tavernes de la Valldigna,39.077802,-0.246923
Térmens,41.71686,0.76403
Terrassa,41.555967,1.99372
Teruel,40.356243,-1.108568
Teulada,38.68170275,0.119590025
Tiana,41.478299,2.269447
Toledo,39.862161,-4.01121
Tona,41.85933,2.23101
Tordera,41.701283,2.714782
Torelló,42.04918,2.26249
Torija,40.75011,-3.025628
Torredembarra,41.15928,1.434906
Torrefarrera,41.675725,0.602773
Torrejón de Ardoz,40.46137,-3.483679
Torrelavega,,
Torrellano,38.291604,-0.593508
Torrelles de Llobreg,41.48847417,2.142406354
Torrelodones,,
Torremolinos,36.622585,-4.49938
Torrevieja,38.013071,-0.697467
Torroella de Montgrí,42.0531599,3.199895967
Tortosa,40.784141,0.525445
Tossa de Mar,41.721652,2.927787
Totana,37.77938,-1.44894
Trasona,43.55359,-5.88807
Tremp,42.163328,0.894417
TRES CANTOS,,
Tudela,42.033674,-1.586156
Ullà,42.04543,3.11825
Ulldecona,,
Utebo,41.70505,-1.00445
Valdemorillo,40.49989,-4.05521
Valdemoro,40.179115,-3.669535
Valdetorres de Jarama,40.70178,-3.50976
Valencia,39.488257,-0.367727
Valladolid,41.688935,-4.719545
Vallfogona de Balaguer,41.786923,0.826222
Vallirana,41.38898,1.9431
Vall·llobrega,41.87848,3.13977
Valls,41.28824,1.24957
VARIOS-POBL.NO DEFINIDA,,
Vélez - Málaga,36.73771579,-4.094833321
Vera,37.25026,-1.87464
Vic,41.952988,2.277619
Vielha e Mijaran,42.70133,0.79285
Vigo,42.239218,-8.713612
Vilablareix,41.96529,2.78288
Viladecans,41.31987,2.0259
Vilafant,42.2383,2.969
Vilafortuny - Cambrils,41.076685,1.096904
Vilafranca,,
Vilafranca del Penedès,41.34681,1.70245
Vilaller,42.47773,0.71803
Vilamalla,42.232749,2.980464
Vilanova de la Barca,41.69035,0.73045
Vilanova del Camí,41.57097,1.64782
Vilanova del Vallès,41.55744,2.29649
Vilanova i la Geltrú,41.243756,1.723773
Vila-real,,
Vila-sacra,42.26645,3.01087
Vilassar de Dalt,41.504803,2.369651
Vilassar de Mar,41.503976,2.380903
Vilatenim,42.26732,2.98662
Villafranca del Penedés,,
Villalba,,
Villalbilla de Burgos,42.341051,-3.769035
Villanúa,42.68011,-0.53681
Villanueva de Gállego,41.7617,-0.82995
Villanueva de la Cañada,40.46763,-4.009538
Villarejo de Salvanés,40.16548,-3.28024
Villares de la Reina,40.993271,-5.665488
Villava,42.830116,-1.611058
Villena,38.63448,-0.88539
Vimbodí,41.40245,1.058142
Vinarós,40.48983,0.46857
Vinyols i els Arcs,41.07628,1.05974
Vitoria,42.8415,-2.67267
Vitoria-Gasteiz,42.8415,-2.67267
Vulpellac,41.9571,3.06371
Xàbia,38.77507,0.13617
Xàtiva,41.48847417,2.142406354
Xeraco,39.03612,-0.21937
Xirivella,39.4626,-0.432186
Xixona,38.54206,-0.50244
Zalla,,
Zamora,,
Zaragoza,41.619172,-0.916725
Zaratán,41.66191,-4.775464
Zizur Mayor,42.788135,-1.69287
Zuera,41.877076,-0.791021

